x,y,z
1.297549903392791748e-02,-1.840885146521031857e-03,-1.706017553806304932e-02
1.780543848872184753e-02,-9.652149863541126251e-03,-2.314718812704086304e-02
2.629420347511768341e-02,-3.618811955675482750e-03,-1.706653833389282227e-02
2.201162278652191162e-02,3.023271216079592705e-03,-1.222158223390579224e-02
3.821837902069091797e-02,-1.918367482721805573e-02,-2.821176871657371521e-02
4.556230828166007996e-02,-1.948332972824573517e-02,-3.587421774864196777e-02
5.289650335907936096e-02,-6.480532698333263397e-03,-2.700936049222946167e-02
4.586033150553703308e-02,-8.388663642108440399e-03,-2.060014568269252777e-02
2.927133627235889435e-02,9.906886145472526550e-03,-1.107806153595447540e-02
3.283952549099922180e-02,3.027820726856589317e-03,-1.518741808831691742e-02
3.406879678368568420e-02,1.656953617930412292e-02,-1.502512581646442413e-02
2.932819351553916931e-02,2.554116770625114441e-02,-1.143768057227134705e-02
2.611708641052246094e-02,1.782407797873020172e-02,-6.290257908403873444e-03
2.437677234411239624e-02,3.029052168130874634e-02,-9.322450496256351471e-03
2.762465551495552063e-02,2.829693630337715149e-02,-2.395892888307571411e-02
2.041960880160331726e-02,3.427980840206146240e-02,-1.658480428159236908e-02
5.765067879110574722e-03,2.391955815255641937e-02,-3.710845112800598145e-02
-5.273253656923770905e-03,2.037030830979347229e-02,-4.170420020818710327e-02
-8.842967450618743896e-03,2.866979315876960754e-02,-2.932406775653362274e-02
2.264595357701182365e-03,3.199965879321098328e-02,-2.558231726288795471e-02
-2.353113889694213867e-02,1.619731076061725616e-02,-3.666225448250770569e-02
-1.575782895088195801e-02,2.380123734474182129e-02,-3.225874155759811401e-02
-1.199736259877681732e-02,1.527219731360673904e-02,-4.495287314057350159e-02
-1.860818639397621155e-02,8.961113169789314270e-03,-4.869834333658218384e-02
1.477389479987323284e-03,-8.119082078337669373e-03,-2.655915543437004089e-02
3.683009417727589607e-03,-1.598752290010452271e-02,-3.338262066245079041e-02
8.310278877615928650e-03,-1.414318103343248367e-02,-2.970286086201667786e-02
5.352684296667575836e-03,-6.626591552048921585e-03,-2.372787334024906158e-02
4.175937920808792114e-02,2.041174285113811493e-02,-2.462175861001014709e-02
3.868240118026733398e-02,2.289166301488876343e-02,-3.019903227686882019e-02
3.628901019692420959e-02,2.413402684032917023e-02,-2.189070731401443481e-02
4.030749946832656860e-02,1.831487566232681274e-02,-1.940080337226390839e-02
3.168213414028286934e-03,-3.786725550889968872e-02,-5.209725350141525269e-02
8.179654367268085480e-03,-4.232523590326309204e-02,-6.528267264366149902e-02
1.352110970765352249e-02,-3.988860547542572021e-02,-6.413217633962631226e-02
7.331849541515111923e-03,-3.681503236293792725e-02,-5.272826552391052246e-02
3.357179090380668640e-02,-3.048245236277580261e-02,-5.225320160388946533e-02
2.977696619927883148e-02,-3.079628013074398041e-02,-6.220148876309394836e-02
